,full_text,sentiment
42,PP Bus + Ojol per hari: 40k-46k + 30-35k PP KRL + MRT + Ojol per hari: 6k-8k + 8k + 35k-45k PP mobil per hari: tol PP 14k-40k + parkir lupa berapa + bensin gak tahu berapa Naik bus ternyata mahal juga ya tapi enak bisa tidur..,netral
43,Kalo naik mrt jam sekarang udah mandi udh rapih ,positif
44,karena MRT jalurnya cuma 1 dan daerah CBD coba ntar diterusin fase 2-3 jangkau lebih banyak dan ditambah LRT yg jangkau daerah satelit bentukannya makin bervariasi. lagian banyak bentukan MRT ditemukan di penumpang TJ dan KRL saat rush hour semua bentuk manusia keluar.,netral
45,Gw pindah dari KRL ke MRT aja berasa gembel banget,negatif
46,Lewat Kerjasama Layanan BaaS BCA Digital Bidik 20.000 Pengguna MRT Jakarta Jadi Nasabah Baru,positif
47,Ya Allah ya Tuhan. Baru aja weekend lalu berbicara keistimewaan yang tinggal dekat MRT dan bisa menaikinya,negatif 
48,kenapa MRT bangkunya tu keras bgt terus licin ya ngga kaya gini‍,negatif
49,siapa kalo naik MRT tasnya ga dikedepanin???,positif
50,- Merasakan transportasi publik semacam mikrolet kopaja Transjakarta MRT &amp; KRL beserta drama-dramanya. - Jarak terasa jauh banget bagi anak kota kecil/kabupaten kayak gue sampe sekarang. - Sebagian orang Jakarta utara &amp; sekitaran Kota galak+keras &amp; rawan kriminalitas juga takut~,negatif
51,Pendapatan nontiket dari digital payment PT MRT Jakarta (Perseroda) capai 15-20 persen. Pendapatan juga terus digenjot dari penjualan hak penamaan stasiun di fase 1 dan fase 2.,netral
52,Aplikasi blu BCA masuk ke dalam aplikasi MRT sehingga penumpang dapat melakukan aktivitas perbankan hanya melalui aplikasi MRT Jakarta seperti membuka rekening baru.,positif
53,setelah dari client di tangerang naik every last train krl+mrt balik ke kantor trus disambut dgn lu kok keringetan bgt sih? sama yg dpt klien 5 stars hotel nempel sama gedung kantor nangis bgt pengen pulang trus mandi,netral
54,minta rekomendasi kos deket mrt dong? terima kasih,positif
55,Kalo naik MRT suka takut ada Omniman,netral
56,Tas Fjallraven Ganjen ini lagi tren apa ya? Sering keliatan di MRT.,netral
57,Pembelian tiket pada aplikasi MRT-J dengan metode pembayaran menggunakan blu akan mendapatkan cashback 100% (maksimal Rp 8.000).,positif
58,guys isi kartu mrt bisa via gopay/indomaret/alfamart ga sih? Ada yg tau ga caranya gimana?,netral
59,ada yg tau ga kalo naik mrt di jakarta bayarnya bisa pake apa aja?,netral
60,Blu by BCA Digital berkerja sama dengan MRT perluas BaaS,positif
61,Kalo kerja di jkt kan sering bgt macet ya.. lebih worth bawa motor ke kantor atau naik transportasi umum? (seperti mrt/Transjakarta),positif
62,Mudahkan Nasabah Blu by BCA Digital Terkoneksi MRT Jakarta,positif
63,Punten laptop yang ga berat bgt tuh apa ya? Jompo juga jd anak magang naik mrt &amp; tj dengan membawa laptop ke kantor,negatif
64,Info kost sekitar MRT Fatmawati atau MRT Cipete dong. Terima kasih,netral
65,Halo aku lagi dinas di jkt dan lokasi mess ke kantor cukup jauh. Kalian yang kerja di jkt MRT dan Transjakarta kalo pagi jam 7an gitu rame bgt kah? macet jg ya?,netral
66,Guys info kosan murah dekat MRT Lebak Bulus dong maksimal 1juta kalo ada. Kosan cewek yg masih bisa dijangkau jalan kaki. Buta bgt sama Jakarta dapet kerjaan deket situ soalnya. ,netral
67,BCA Digital targetkan tambah 20 ribu nasabah dari kerjasama dengan MRT,netral
68,alhamdulillah masih dikasih pekerjaan dikasih kantor yang bisa akses mrt sm tj wfo ga tiap hari jadi masih bisa bikin konten punya orang tua yg ga nuntut mesti kerja ini itu. Alhamdulillah,positif
69,Kaum mendang mending mending dapet duduk pas berangkat apa pas pulang kerja kalo naik MRT/KRL/TRANS?,netral
70,halo mau tanya kalo loker lrt mrt gitu liatnya dimana ya?,netral
71,Guys kalian tau ga busway koridor 13 ciledug purbet yang terhubung bisa transit pindah naik mrt itu halte apa ya namanya?,netral
72,info kosan deket MRT nih! 5 menit ke MRT lb bulus. gue ga ngekos lagi karena hrs pp kalo ada yg minat/pengin lihat kosannya bisa balas. nanti gw kasih info ya buat video kamarnya,positif
73,Halo ada yg punya info kosan rekomendasi daerah kebon kacang kah? Atau yg dekat mrt senayan/setiabudi gitu,netral
74,Blu by BCA Digital berkolaborasi dengan MRT Jakarta dengan menghadirkan layanan bank as a service (BaaS) blu di aplikasi MRT-J. Selengkapnya,positif
75,Mau tanya stasiun terdekat dari cilandak timur yg aksesnya pake tj atau mrt aja tanpa grab. Kek mana ya.. Makasih yg udh jawab,netral
76,Ada yg tau info kosan murah di Setiabudi/MRT Benhil yg maksimal budget 1 juta gak? Buat cowok. butuh secepatnya,netral
77,Kerja sama ini mempermudah nasabah mendapatkan berbagai layanan dari MRT Jakarta.,netral
78,Guys ad yg punya info kosan deket ke mrt jkt? Ga usah pake ac gpp yg penting budget maksimal 1.3 jt/bulan tahun ini gaji sender udh mulai bayaran kuliah.. pulang kantor lagsung masuk kelas pasti butuh yg mudah ke MRT biar lebih deket. Terima kasih,positif
79,Rata-rata org jakarta itu jalan kaki brp km sehari? Mengingat banyak mrt &amp; tj dan setelah turun harus jalan kaki ke kantor atau balik rumah. Sender nanya krn bentar lagi merantau ke sana,netral
80,Info: Gangguan Trafik (Laluan T414) Pelanggan yang dihormati Rapid KL ingin memaklumkan bahwa bus tidak dapat meneruskan perjalanan dari MRT Sri Raya disebabkan terdapat kenderaan awam parkir di bahu jalan dan menghalang lalu lintas.,negatif
81,Lewat kolaborasi ini pengguna aplikasi MRT bisa melakukan pembelian tiket dengan menautkan akun Blu by BCA Digital.,positif
82,Eh kalian ada yg pernah lewat stasiun mrt blok a ngga? kayaknya sebelum poster the last of us muncul dipajang di bawah stasiun gue sempet liat ada satu papan yg pinggirannya berjamur mirip jamur ini tp gw ga yakin itu bagian dr promosi apa bukan sih??,netral
83,2 tahun hidup di Jakarta aku baru 1x naik MRT 0x KRL 0x TJ 2x bajaj dan beberapa kali naik JakLingko,netral
84,Sudah 10 tahun ke kantor pakai angkutan umum.,positif
85,ngomong-ngomong pengin banget mencoba mrt berjalan-jalan tapi aku tidak tahu habis keluar dari mrt mau kemana,positif
86,masi suka kagum setiap naik mrt karna semua penumpangnya sangat beradab,positif
87,Akhirnyaaa. Jadi inget momen bilang ke pak Dirut MRTJ saat memfasilitasi Startegic Meeting MRTJ tahun lalu kalau ga bs naek MRT krn ga ada jalurnya dr rumah. Akhirnya akan ada jg jalurnya nya.,positif
88,Salut sama penjaga gerbang/gate MRT sabar banget melayani penumpang gagal tap out. Kayaknya setiap 2 menit sekali ada aja yang ga kebaca lah belum kerefresh lah saldo abis lah. KRL bisa lebih smooth &amp; cepet kenapa MRT gabisa ya ?,positif
89,(Menghela napas) bagi penumpang transportasi publik (dalam kasusku MRT) tolong dong mohon bantuannya kalau kereta lagi penuh (apalagi di Senin pagi gini kan) jangan egois kantong belanjaan kalian ditaro &amp; mengambil jatah tempat duduk. Taro aja di bawah. Heran,negatif
90,balikin promo voucher MRT dong di gopay,netral
91,Serba salah naik motor macet naik tj atau mrt rame dan antri poll,negatif
92,kartu apa sih yang bisa digunakan buat semua transportasi di jkt? naik kereta mrt dll gitu. biar cuman nyiapin satu kartu aja,netral
93,haduh ngantuk bgt kalo gw ketiduran di mrt bakalan dibangunin ga ya?,netral
94,Extreme sport: Berdiri dalam MRT walaupun ada cedera berkelanjutan dekat kaki,netral
95,Hujan pagi membuat aku jadi hemat pake banget ga ada pilihan selain naik MRT + busway. Lebak bulus - Sawah besar cuma 7.250 terima kasih,positif
96,Pagi ini ga biasanya naik 6. Krn 6A sama 6B lama. Ngejar agenda pagi pula. Turun di halte yg ga semestinya krn mau naik gojek aja ke Kantor. Eh malah ketemu sama  di halte. Kurang lebih mirip seperti saat ketemu Haris di MRT. ketemu 2 anak FTIP di public Transport.,netral
97, aku lulusan smk pengen banget kerja di kai/mrt huhu tapi mereka jarang banget buka loker ya :(,negatif
98,Yg ke kantor pake mrt sekitar jam 7an itu rame atau padat ga ya? Kebetulan aku mulai di awal bundaran hi.,netral
99,Sebagai anak rantau yang baru pertama kali naik transjakarta dan mrt harus mempersiapkan apa saja ya? Terima kasih.,netral
100,ke pacific place naik kendaraan umum bisa ga ya? kayak krl/mrt? makasih,netral
101,Hai Kak. Untuk saat ini MRT Jakarta masih dalam tahap pembangunan dan penyelesaian Fase 2. Untuk informasi lebih lanjut silakan kunjungi website kami di  ya. Terima kasih.,positif
102,Gw baru tau di sini malah lbh enakan naik bus dari pada naik mrt. Soalnya kalo naik mrt jauh-jauh jalannya udh tua jd gampang cape skrg lebih memilih naik bus aj yg bisa langsung nyampe di tujuan,negatif
103,Pembangunan MRT Jakarta fase 2A mengakibatkan tiga halte Transjakarta akan dipindah salah satunya Halte Harmoni yang merupakan halte transit. Modifikasi layanan sesuai dengan kebutuhan penumpang dibutuhkan.,netral
104,Hai Kak. Pemberangkatan terakhir pada hari libur dari Stasiun MRT Istora Mandiri menuju Stasiun MRT Dukuh Atas BNI pukul 23.32 WIB. Kami himbau Kakak tiba lebih awal 30 menit dan sudah mengunduh aplikasi JAKI/PeduliLindungi serta terapkan selalu protokol kesehatan.(1),netral
105,Hai Kak. Kakak dapat memarkir kendaraan bermotor di area terdekat seperti di park and ride Stasiun MRT Lebak Bulus Grab di depan Lembaga Pendidikan dan Pelatihan Polri Lebak Bulus dan tempat yang menyediakan parkir untuk umum di sekitar stasiun ya. Terima kasih.,netral
106,Ke GI naik mrt enak cepet murah gak pusing cari parkir. Gaenaknya kalo tau tau mau pulang eh ujan kek tadi langsung bingung balik,negatif
107,Menhub Budi Karya akan melakukan kunjungan kerja ke Jepang untuk membahas sejumlah proyek transportasi seperti Patimban hingga MRT Jakarta.,positif
108,Proyek MRT Bundaran HI-Ancol akan dibangun sepanjang 11 8 kilometer.,netral
109,Pj Gubernur DKI Jakarta Heru Budi sebut MRT Fase 3-4 dibangun bersama pada 2024.,netral
110,info kos/kontrakan yg boleh sama pasangan dong yang deket MRT setiabudi/dukuh atas/ bundaran hi. ,netral
111,MRT juga sering berupa memberlakukan sanksi berupa dengan atas pelaporan ke pihak berwajib sejak 2019 kepada pelaku.,netral
112,Ketika koneksi langsung MRT Jakarta dan Transjakarta Koridor 1/3 di Bundaran HI belum juga dibuka hingga saat ini. ,negatif
113,Pejabat pejabat yg belum tau apa-apa soal Bedanya : KRL commuter train kreta jarak jauh dan juga MRT lebih baik dicabut dulu fasilitas mobil dinasnya. Biar mereka merasakan naik krl Kalo skrng mreka teriak-teriak karena belum pernah merasakan kayanya,netral
114,knp kereta antar kota gini ga diganti aja sama mrt gitu biar cepet,positif
115,semoga nanti bisa untuk tiket MRT juga ya admin,netral
116,Banyaknya drama dalam mrt hari ini,negatif
117,Sore min  Kenapa saya selalu gagal masuk ke halaman royal trans di aplikasi tije? Mau beli tiket utk mrt fatmawati ke bintaro.,negatif
118,Tolong info dong kos an daerah jakpus sudirman karet atau yg deket sama stasiun krl mrt. Aku sudah lelah PP tangsel-jakpus,netral
119,kasus plaza ini kesal sbg karyawan kerja di msig mau naik MRT repot muternya,negatif
120,Presiden  seharusnya mengakui Kota DKI Jakarta yang telah berhasil membangun transportasi publik yang terintegrasi dengan moda transporrasi lainnya spt Jaklingko terintegrasi dgn TransJakarta MRT LRT dan Stasiun KAI Commuterline dibawah Gubernur DKI,positif
121,Direktur konstruksi MRT cewek terus dari awal berdiri sampe sekarang jadi termotivasi,positif
122,Proyek MRT di Jawa Timur akan Hubungkan Tiga Kampus di Surabaya,netral
123,biasanya kalo wfo jam sekarang baru berangkat dari kosan ke halte bus hari ini udah naik MRT ngantuk ,netral
124,Mau tanya rute karena baru di jkt. Kantorku di juanda dan rumah saudaraku di cilandak. Kalau naik mrt/krl/tj alurnya gimana ya? Makasih sebelumnya,netral
125,Hallo guys aku mahasiswi lagi penelitian. Butuh orang dgn kriteria 1. umur &gt;= 15 tahun 2. Melakukan perjalanan dgn MRT 3. Menggunakan angkutan umum sepeda atau berjalan kaki sebelum dan sesudah menggunakan MRT.,netral
126,setuju. syukur masih ngerasain ditembak di umur 24 tahun ditembak di taman literasi blok m abis jalan-jalan naik mrt dan ngobrol banyak. ditutup dengan makan cilor di depan . sometimes we ALL need proposal eventho its cringy dibanding yaudahlaaaa jalanin aja.,positif
127,Hasil kulineran dari MRT trip ala-ala di minggu ini Wancan (350 m dari St. MRT Cipete Raya),netral
128,Ngajak bu Iti survey MRT untuk pembangunan MRT Lebak-Pdg,netral
129,jalan jalan sendiri enak tapi pgn juga ngerasain mrt date :) ,positif
130,Halo. Ada yang tinggal di jabodetabek terus sering pake mrt/transjakarta di wilayah senayan nggak? Kalo iya tolong isi kuesioner di bawah ini ya  Kalo mau barter boleh screenshoot udah jawab kuesionernya terus drop link juga di bawah ya. Makasih,netral
131,Ada lowongan kerja di LRT ada yang pernah daftar kerja di LRT?MRT? Share dong interviewnya gmna,positif
132,Saran toilet umum yang ada showernya area sekitar MRT Jaksel guys,netral
133,Pertama Dan Satu-satunya Di Dunia Gubernur Resmikan Gardu Listrik Gubernur DKI Jakarta Anies Baswedan meresmikan gardu distribusi listrik MRT Jakarta. Gardu ini terletak di bawah tanah dan diakui menjadi yang pertama di Indonesia.,positif
134,gaboleh masuk mrt karena ga bawa masker,netral
135,Cara Naik MRT Jakarta Untuk Pemula Gimana!? -,netral
136,besok pengen krl-an deh. apa mrt ya?? ato TJ probably??,netral
137,Lift di MRT juga 2 sisi dan pertama kali naik gue bingung kok ga kebuka padahal udah berenti. Untung pintunya kaca jadi keliatan bayangan pintu belakang kebuka Sekarang kalo naik lift di tempat baru dan sendirian langsung senderan ke samping biar tau pintu mana yang kebuka,positif
138,KTM bakrie bisa buat bayar tol bayar krl bayar mrt bayar tj plus kalau nunjukin ktm di fore coffee street boba dan tenant lainnya termasuk salon jg dapat diskon,positif
139,sepeda bisa naik mrt ,positif
140,Setiap pake uniqlo dan naik mrt selalu khawatir ada yang pakai baju yang sama. Pasaran banget soalnya,netral
141,Kurang update(kudet) banget gw perihal MRT anying,negatif
142,bersyukur deh gw selama ini ga ada problem/masalah apapun selama tap mrt malah lancar jaya mulus mulus aja kecuali TJ masyaallah baru nyoba naik TJ sekali tp dah emosi,positif
143,WKWK JADI INGAT  Sampai 1 jam sendiri mengotak atik gimana caranya biar bisa lewat mesin MRT,negatif
144,story time gua abis ke K-mart agak kecewa sama experiencenyaa huhu karna kaki aku sekarang sakit gegara jalan dari mrt ke k-mart lumayan jauh. mana pake nyasar nyasar hehe tapi MAKANANNYA ENAKK BNGTT,negatif
145,Lah kejauhan...hahahahahaha jakbar mana? Kantor saya di Kelapa Dua Jakbar. Bintaro ga jauh apa mau gereja saya depan stasiun MRT Lebak Bulus? Itu tidak jauh.,positif
146,Capek juga jalan dari mrt blok m ke csw,negatif
147,Nope. 1. Ini kartu berfungsi bgt klo lo tinggal di jabodetabek buat naik krl mrt klo lo di jkt buat tj klo lo di bgr bisa utk bk. Kenapa gak debit contactless aja? Kamu pikir saja anak sekolahan dibawah 17 tahun yg naik tj bk krl harian gimana nasibnya?,negatif
148,Gue Americano sehari 28rebu tp ongkos ngantor naik krl-mrt-gojek PP sehari 87ribu (kalo gojeknya ga kena rush hour fare ataupun pas lagi ga hujan) :),negatif
149,Di ranco tanjung barat sebenernya udh enak sekarang soal transportasi umum udh ada metro trans &amp; trans jakarta yg bisa nyambung ke MRT fatmawati atau KRL tanjung barat. Masalahnya cuma akses ke kantong pemukimannya. Harus ngojek lagi buat ke rumah masing-masing,negatif
150,Ini gemes banget. Keknya pasangan di sebelah gua di mrt lagi pdkt. Dia ngobrol kenceng disaat orang orang diem karna ngga bole ngomong. Gemes tapi kek pen nampol cowonya gituuuuu kek ngomongnya asal banget. Tapi mba nya juga responnya baik bat yaaaa wkwkwk biar lakinya nggak malu,netral
151,bersyukur banget dpt tempat tinggal dengan stesen mrt &amp; tj within walking distance ️,positif
152,Setuju. Pengalaman di Jakarta biaya transportasi kendati ada transportasi umum masih jadi pos paling besar. Salah satu faktor utama adalah masih kurangnya angkutan pengumpan (feeder) murah dari permukiman ke simpul transportasi (stasiun krl/mrt halte TJ etc),netral
153,Pengen aktifin paket data XL krn lebih murah dr indosat tapi ga suka tiap mau naik MRT dia auto ga ada sinyal di dlm stasiun,negatif
154,Gw selama make mrt senang aja mungkin karna orang kampung. Hehe keren euy liat gedung2 kaya di film2 wih turun ke bawah tanah dulu emangnya new york? Ajaib euy pake kartu bisa buka sendiri pintunya bunyi jeglek disini naik lift pake kaki mencetnya? Ga perlu pake tangan?,positif
155,Hai Kak. Keberangkatan terakhir dari Stasiun MRT Bundaran HI adalah jam 23:31 WIB. Kami imbau agar tiba 30 menit lebih awal dan sudah menyiapkan aplikasi SATUSEHAT ya Kak. Terima kasih.,netral
156,Di deket MRT Lebak bulus tu parkir/penitipan motornya di mana ya?,netral
157,Ada yg kerja di BR1 pusat yg di jakarta jensud? Halte TJ sama stasiun MRT terdekat tuh apa ya dari sana? Thanks. ga percaya gmaps sering ketipu,netral
158,Yang sesuai kriteria sering naik MRT / TJ tolong bantu isi yaa,netral
159,Ges kalian yg work! nya di daerah Bundaran HI ngekostnya pada dimana yah?? Aku kepikir utk ambil kost yg deket stasiun MRT gt sih wdyt??,netral
160,Heboh di Twitter cuitan soal mesin tap MRT Jakarta kurang cepat dan kurang responsif. Pihak MRT Jakarta pun buka suara.,negatif
161,MRT soal Mesin Tap Kartu yang Dihujat Netizen Lelet: Produksi Jepang,negatif
162,Aku mulai kepikiran ide utk sepedaan pas wfo pake mrt. Share pengalamannya dong guys yg keria pake sepeda+KRL/MRT. Apakah mobilitas jadi mudah utk jarak dekat? Terus kalo keringetan mandi di kantor kah?,netral
163,Beli sepatu harga 100 ribuan... Tiap hari naik transportasi umum Busway KRL MRT... Yang penting hati tenang ga punya utang pada orang lain...,positif
164,Kehadiran konsep TOD yang memiliki sejumlah fasilitas penunjang mobilitas penumpang diharapkan akan meningkatkan jumlah pengguna atau calon penumpang transportasi berbasis rel kereta ini. Pengembangan kawasan transit terpadu ini diharapkan menjadikan MRT Jakarta atau moda,positif
165,Sebagai pengguna MRT jadi makin cinta ama Blu. Semoga cashback ini selamanya. Sebagai yang bukan karyawan BUMD dapet remah²an gini aja udah hepi.,positif
166,Info kost dong yg deket ke mrt/busway deh di mamikost gada yg cocok :(,netral
167,Pake Jenius sejak awal-awal muncul dan hamdalah gak pernah ada masalah. Narik duit di Jepang Vietnam Thailand Malaysia dan Singapura kursnya lebih ramah. Bisa akses MRT dan bayar pake PayWave di berbagai negara juga. Bisa jajan online bahkan dari luar negeri juga,positif
168,Batal naik mrt karena parkiran park n ride penuh. Yuk tambah dua lantai yuk parkirannya.,negatif
169,knp pas menetap di jkt ga sempat foto di MRT ya buat feeds ig,netral
170,Selalu amazed sama orang-orang yang naik MRT sambil bawa sepeda lipat. Kayak... stasiunnya aja naik turunnya cukup naidzubillah bikin lelah. Ini ada banget tenaganya gitu. Kereen kamu hebat pokoknya!!!,positif
171,Blok M Plaza sekarang hidup banget. Buat nonton groceries makan jajan belanja yg affordable photobox mana nyambung pula sama MRT terus lingkungan sekitar mall-nya ada taman m blok banyak tempat ngopi. Gue kalo udh ga mau mikir &amp; lg sering ujan selalu pilih nonton di sini.,positif 
172,Naik mrt sendiri jam segini,netral
173,Kalo ke mall sih paling cuma nonton ke gramed makan karaoke gitu2 sih. Kalo me time lebih enak jalan-jalan seperti naik KRL atau MRT trus turun di Blok M atau ke Pos Bloc buat bengong bisa ada photobox juga. Atau jalan-jalan aja cari tempat makan atau ke museum juga bisa,positif
174,Mengenai perdagangan Indonesia telah memberikan fleksibilitas untuk produk pertanian dari Fukushima. Saya minta fleksibilitas Jepang terkait perluasan akses buah tropis Indonesia. Terkait investasi diperlukan percepatan penyelesaian proyek pembangunan MRT di Indonesia.,netral
175,tanyarl guys kalo naik mrt dari lebak bulus ke senayan di pagi hari di hari kerja biasanya penuh ga?,netral
176,guys naik mrt pagi-pagi di hari kerja biasanya penuh/rame ga?,netral
177,Ada yg punya rekomendasi kosan deket mrt? Kantorku deket mrt rencana mau cari kosan deket mrt aja huhu under 1 juta kalau ada,netral
178,Lari tadi papasan sama Marissa Anita dan suaminya di Stasiun MRT Setiabudi Astra ya Allah cantik banget  wajahmu mengalihkan pace lariku.,netral
179,guys kalian yang work! nya di daerah kuningan pagi2 kalo naik mrt dari fatmawati ke arah istora mandiri biasanya penuh atau sepi? aku baru mau nyoba pake mrt nih. terima kasih,netral
180,Ada Rekayasa Lalin MRT Rute Thamrin-Monas Hindari Jalan Ini,netral
181,Hai Kak. Untuk foto dan video di dalam stasiun dan kereta MRT Jakarta tidak ada larangan. Namun jika foto dan video menggunakan kamera serta alat khusus pelengkap/ pendukung lainnya secara profesional dan bersifat komersil maka memerlukan izin. Terima kasih.,netral
182,Naik mrt buat balik kantor habis makan. Tuh mrt kan penuh ya. Trs ada mbak-mbak dudukin 2 kursi sekaligus. Gue bilang misi ga digubris dia main hp doang. Akhirnya gue dudukin paksa aja bodo amat setengah pantat gue kena dia. Baru bergeser Emg orang2 lack empathy hrs diginiin,negatif
183,MRT Corp telah menyemak semula rancangan pelaksanaan fasa bagi projek itu agar ia lebih sesuai untuk dilaksanakan. -,netral
